id	title	name_src	variants	type	aat_type	ccodes	lon	lat	min	max
136	Δερβένια (Derbenia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.971444	40.720278	1780	1820
137	Καστρί (Kastri)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.266667	39.55	1780	1820
138	Κονιάροι (Koniaroi)	ali-pasha	Κονάροι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.683333	40.516667	1780	1820
139	Μπόσνα (Mposna)	ali-pasha	Μπόσνια, Πόσνα, Βοσνία	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	18.416667	43.866667	1780	1820
140	Ὄστροβο (Ostrobo)	ali-pasha		subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.833333	40.79555	1780	1820
141	Άνασελίτζα (Anaselitza)	ali-pasha	Άνασελίτσα, Άνουσελίτζα, Άνουσιλίτζα, Νασιλίτζα, Νασελίτσα, Νασελίστι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.513333	40.34245	1780	1820
142	Άπόκουρο (Apokouro)	ali-pasha	Άπόκορο, Άπόκουρος	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.686389	38.748611	1780	1820
143	Βελιγράδι (Beligradi)	ali-pasha	Μπελιγράτι, Μπελιγράδι, Πελιγράδι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.466667	44.816667	1780	1820
144	Βλαχία (Blachia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	26.1	45.8667	1780	1820
145	Βοκοπόλια (Bokopolia)	ali-pasha	Βουκοπόλια	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.06694	40.51306	1780	1820
