id	name	name_src	type	aat_type	close_match
15601	Talina	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000163
15602	Taliscoyan	alcedo	pueblo	town	
15603	Talistac	alcedo	pueblo	town	
15604	Talistac	alcedo	pueblo	town	
15605	Talistac	alcedo	alcaldía mayor	inhabited place	
15606	Talistipan	alcedo	pueblo	town	
15607	Talka	alcedo			
15608	Talmacahuida	alcedo	asentamiento	inhabited place	
15609	Talnalic	alcedo	pueblo	town	
15610	Talpa	alcedo	pueblo	town	
15611	Talpicon	alcedo	pueblo	town	
15612	Talpujagua	alcedo	pueblo	town	
15613	Tama	alcedo	rio	river	
15614	Tamahu	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=2000141
15615	Tamalameque	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000040
15616	Tamalinto	alcedo	pueblo	town	
15617	Tamaña	alcedo	pueblo	town	
15618	Tamanaes	alcedo	people	cultural group	
15619	Tamapache	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=10000861
15620	Tamara	alcedo	pueblo	town	
15621	Tamara	alcedo	pueblo	town	
15622	Tamaraca	alcedo	capitania	political administrative body	
15623	Tamaro	alcedo	rio	river	
15624	Tamaroas	alcedo	isla	island	
15625	Tamaulipa	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1004952
15626	Tamayo	alcedo	rio	river	
15627	Tamazula	alcedo	pueblo	town	
15628	Tamazula	alcedo	pueblo	town	
15629	Tamazula	alcedo	alcaldía mayor	inhabited place	
15630	Tamazulapa	alcedo	pueblo	town	
15631	Tamazulapa	alcedo	pueblo	town	
15632	Tamazunchale	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1003839
15633	Tambapalla	alcedo	valle	valley	
15634	Tambillo	alcedo	pueblo	town	
15635	Tambillo	alcedo	pueblo	town	
15636	Tambillo	alcedo	provincia	province	
15637	Tambillo	alcedo	provincia	province	
15638	Tambo	alcedo	pueblo	town	
15639	Tambo	alcedo	pueblo	town	
15640	Tambo	alcedo	provincia	province	
15641	Tambo	alcedo	reino	kingdom	
15642	Ivi	alcedo	provincia	province	
15643	Ivi	alcedo	provincia	province	
15644	Ivi	alcedo	provincia	province	
15645	Ivi	alcedo	provincia	province	
15646	Ivi	alcedo	provincia	province	
15647	Ivi	alcedo	rio	river	
15648	Nno	alcedo	rio	river	
15649	Nno	alcedo	pueblo	town	
15650	Nno	alcedo	provincia	province	
15651	Nno	alcedo			
15652	Tambobamba	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000271
15653	Tambor	alcedo	isla	island	
15654	Tambor	alcedo	pueblo	town	
15655	Tambos	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000473
15656	Tame	alcedo	pueblos y tierras indígenas	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000649
15657	Tame	alcedo	rio	river	
15658	Tames	alcedo	people	cultural group	
15659	Tames	alcedo	pueblo	town	
15660	Tames	alcedo			
15661	Tamiahua	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1003262
15662	Tamiahua	alcedo	rio	river	
15663	Tamigi	alcedo	rio	river	
15664	Taminango	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5600176
